QUERY_KEY|QUERY_TEXT|DOC_KEY|ENGINE|RANK|SCORE
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-34240|SOLR_PESQUISA_ORIGINAL_select|1|9621.945
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20956|SOLR_PESQUISA_ORIGINAL_select|2|4106.0303
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-68513|SOLR_PESQUISA_ORIGINAL_select|3|1469.4274
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-39213|SOLR_PESQUISA_ORIGINAL_select|4|1152.8715
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-51881|SOLR_PESQUISA_ORIGINAL_select|5|1128.3818
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-21229|SOLR_PESQUISA_ORIGINAL_select|6|106.03587
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-21285|SOLR_PESQUISA_ORIGINAL_select|7|106.00396
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-21159|SOLR_PESQUISA_ORIGINAL_select|8|90.93528
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-3225|SOLR_PESQUISA_ORIGINAL_select|9|76.14923
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-34231|SOLR_PESQUISA_ORIGINAL_select|10|72.4278
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-18324|SOLR_PESQUISA_ORIGINAL_select|11|72.11442
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-53841|SOLR_PESQUISA_ORIGINAL_select|12|71.47937
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-17125|SOLR_PESQUISA_ORIGINAL_select|13|69.119385
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-18035|SOLR_PESQUISA_ORIGINAL_select|14|63.589508
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-21210|SOLR_PESQUISA_ORIGINAL_select|15|61.90104
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-14515|SOLR_PESQUISA_ORIGINAL_select|16|61.830406
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-14560|SOLR_PESQUISA_ORIGINAL_select|17|60.545204
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-22781|SOLR_PESQUISA_ORIGINAL_select|18|53.97094
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20870|SOLR_PESQUISA_ORIGINAL_select|19|53.732468
