QUERY_KEY|QUERY_TEXT|DOC_KEY|ENGINE|RANK|SCORE
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-34240|SOLR_PESQUISA_ORIGINAL_select|1|9590.123
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20956|SOLR_PESQUISA_ORIGINAL_select|2|4092.4507
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-68513|SOLR_PESQUISA_ORIGINAL_select|3|1464.5675
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-39213|SOLR_PESQUISA_ORIGINAL_select|4|1149.0586
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-51881|SOLR_PESQUISA_ORIGINAL_select|5|1124.65
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-21229|SOLR_PESQUISA_ORIGINAL_select|6|69.17008
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-21285|SOLR_PESQUISA_ORIGINAL_select|7|69.138275
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-17125|SOLR_PESQUISA_ORIGINAL_select|8|68.89079
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-21159|SOLR_PESQUISA_ORIGINAL_select|9|54.119427
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-14560|SOLR_PESQUISA_ORIGINAL_select|10|45.371082
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-31586|SOLR_PESQUISA_ORIGINAL_select|11|44.48633
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-8854|SOLR_PESQUISA_ORIGINAL_select|12|43.61163
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-31698|SOLR_PESQUISA_ORIGINAL_select|13|42.092915
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-28937|SOLR_PESQUISA_ORIGINAL_select|14|41.918724
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-29394|SOLR_PESQUISA_ORIGINAL_select|15|41.445454
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-31547|SOLR_PESQUISA_ORIGINAL_select|16|41.445454
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-24677|SOLR_PESQUISA_ORIGINAL_select|17|41.225536
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-18324|SOLR_PESQUISA_ORIGINAL_select|18|40.659393
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-53841|SOLR_PESQUISA_ORIGINAL_select|19|40.026447
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20585|SOLR_PESQUISA_ORIGINAL_select|20|40.026447
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-3225|SOLR_PESQUISA_ORIGINAL_select|21|39.006332
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-18217|SOLR_PESQUISA_ORIGINAL_select|22|37.88512
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-151292|SOLR_PESQUISA_ORIGINAL_select|23|36.815174
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-16908|SOLR_PESQUISA_ORIGINAL_select|24|36.039326
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-22781|SOLR_PESQUISA_ORIGINAL_select|25|35.534893
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-84548|SOLR_PESQUISA_ORIGINAL_select|26|35.29721
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20870|SOLR_PESQUISA_ORIGINAL_select|27|35.29721
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20869|SOLR_PESQUISA_ORIGINAL_select|28|35.29721
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20969|SOLR_PESQUISA_ORIGINAL_select|29|35.29721
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20970|SOLR_PESQUISA_ORIGINAL_select|30|35.29721
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20579|SOLR_PESQUISA_ORIGINAL_select|31|35.29721
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-34231|SOLR_PESQUISA_ORIGINAL_select|32|35.29721
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-34126|SOLR_PESQUISA_ORIGINAL_select|33|35.29721
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-34233|SOLR_PESQUISA_ORIGINAL_select|34|35.29721
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-18035|SOLR_PESQUISA_ORIGINAL_select|35|35.066074
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-21286|SOLR_PESQUISA_ORIGINAL_select|36|35.02189
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-33073|SOLR_PESQUISA_ORIGINAL_select|37|35.02189
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-32978|SOLR_PESQUISA_ORIGINAL_select|38|35.02189
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-33936|SOLR_PESQUISA_ORIGINAL_select|39|35.02189
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-35677|SOLR_PESQUISA_ORIGINAL_select|40|34.84606
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-21164|SOLR_PESQUISA_ORIGINAL_select|41|34.84606
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20871|SOLR_PESQUISA_ORIGINAL_select|42|34.58504
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20971|SOLR_PESQUISA_ORIGINAL_select|43|34.58504
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-21072|SOLR_PESQUISA_ORIGINAL_select|44|34.58504
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-31601|SOLR_PESQUISA_ORIGINAL_select|45|34.58504
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-14515|SOLR_PESQUISA_ORIGINAL_select|46|34.570953
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20584|SOLR_PESQUISA_ORIGINAL_select|47|34.569138
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-21207|SOLR_PESQUISA_ORIGINAL_select|48|34.569138
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-31669|SOLR_PESQUISA_ORIGINAL_select|49|34.569138
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-31526|SOLR_PESQUISA_ORIGINAL_select|50|34.569138
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20977|SOLR_PESQUISA_ORIGINAL_selectSwan|1|44693.87
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-22780|SOLR_PESQUISA_ORIGINAL_selectSwan|2|29220.148
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-18913|SOLR_PESQUISA_ORIGINAL_selectSwan|3|24655.045
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-18819|SOLR_PESQUISA_ORIGINAL_selectSwan|4|22100.227
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-22107|SOLR_PESQUISA_ORIGINAL_selectSwan|5|19926.285
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-18265|SOLR_PESQUISA_ORIGINAL_selectSwan|6|19689.197
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-48334|SOLR_PESQUISA_ORIGINAL_selectSwan|7|18135.541
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-32904|SOLR_PESQUISA_ORIGINAL_selectSwan|8|17123.74
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20972|SOLR_PESQUISA_ORIGINAL_selectSwan|9|16754.832
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-18178|SOLR_PESQUISA_ORIGINAL_selectSwan|10|16090.983
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-34240|SOLR_PESQUISA_ORIGINAL_selectSwan|11|14927.853
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-21059|SOLR_PESQUISA_ORIGINAL_selectSwan|12|10000.801
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-54797|SOLR_PESQUISA_ORIGINAL_selectSwan|13|7883.427
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-34135|SOLR_PESQUISA_ORIGINAL_selectSwan|14|6741.4756
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-39206|SOLR_PESQUISA_ORIGINAL_selectSwan|15|6430.3633
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20956|SOLR_PESQUISA_ORIGINAL_selectSwan|16|6367.253
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-15078|SOLR_PESQUISA_ORIGINAL_selectSwan|17|6093.9604
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-15076|SOLR_PESQUISA_ORIGINAL_selectSwan|18|5879.518
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-58300|SOLR_PESQUISA_ORIGINAL_selectSwan|19|5876.784
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-21497|SOLR_PESQUISA_ORIGINAL_selectSwan|20|5864.5615
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-15092|SOLR_PESQUISA_ORIGINAL_selectSwan|21|5842.5874
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-20839|SOLR_PESQUISA_ORIGINAL_selectSwan|22|5790.02
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-40466|SOLR_PESQUISA_ORIGINAL_selectSwan|23|5532.2554
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-79794|SOLR_PESQUISA_ORIGINAL_selectSwan|24|5383.344
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-58195|SOLR_PESQUISA_ORIGINAL_selectSwan|25|5019.731
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-18835|SOLR_PESQUISA_ORIGINAL_selectSwan|26|5006.14
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-39572|SOLR_PESQUISA_ORIGINAL_selectSwan|27|4971.4907
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-39669|SOLR_PESQUISA_ORIGINAL_selectSwan|28|4951.4937
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-137717|SOLR_PESQUISA_ORIGINAL_selectSwan|29|4669.8804
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-98916|SOLR_PESQUISA_ORIGINAL_selectSwan|30|4656.139
1|técnica e preço|JURISPRUDENCIA-SELECIONADA-74550|SOLR_PESQUISA_ORIGINAL_selectSwan|31|4421.8486
